X	Y
567	492
480	492
8	492
353	490
214	491
193	491
201	489
36	490
644	489
611	490
344	489
655	489
560	488
334	489
566	486
555	486
384	489
368	489
445	488
2	488
635	488
302	487
155	488
345	483
215	484
80	484
513	482
465	482
552	483
326	481
560	480
503	486
491	490
422	480
84	480
519	479
414	478
378	478
251	478
87	479
575	479
527	478
208	477
215	475
542	474
488	478
417	473
565	473
117	475
534	475
157	471
503	475
161	470
67	468
182	469
435	465
527	468
16	477
456	464
299	463
316	463
187	477
152	463
301	459
169	459
651	468
625	458
524	459
154	460
16	457
630	456
562	465
558	461
553	461
544	459
518	458
336	457
80	465
384	456
377	456
326	454
589	455
473	453
183	457
153	454
57	454
167	465
656	451
233	450
179	450
651	451
228	449
1	451
631	449
266	449
252	448
146	449
115	449
107	461
62	448
6	451
348	450
167	447
48	449
39	448
159	447
152	448
656	446
315	452
310	451
304	451
236	447
134	456
589	445
532	454
245	445
417	442
565	445
556	443
320	441
105	442
394	439
249	439
61	441
592	438
480	438
150	438
118	440
415	437
82	438
601	438
360	435
111	435
544	435
486	457
486	465
468	460
490	440
313	433
83	433
650	436
529	436
518	435
412	432
408	433
91	433
502	431
498	431
318	432
78	432
493	431
392	430
351	430
343	430
337	441
283	429
553	429
100	429
61	431
494	427
383	429
41	429
526	426
344	427
425	425
244	425
86	458
84	491
116	489
124	487
99	486
50	482
61	483
55	477
38	473
42	467
48	467
42	461
22	450
21	449
97	424
649	422
602	422
510	425
286	422
67	446
61	461
73	427
369	433
240	420
41	421
22	421
499	422
108	428
97	419
410	421
190	422
63	420
447	416
244	417
110	417
655	420
447	413
362	419
361	420
102	414
127	412
119	420
116	418
1	409
49	415
546	408
291	413
172	408
73	412
460	406
43	406
267	406
195	405
604	403
94	408
605	446
578	486
594	470
604	468
602	466
593	466
613	458
604	452
631	435
627	432
626	418
593	418
593	420
589	416
571	427
577	438
574	435
530	414
75	400
66	406
473	400
612	404
608	399
521	398
213	407
99	400
198	397
641	396
601	394
540	399
510	397
488	394
59	404
552	411
288	399
202	393
72	394
5	402
569	391
598	390
546	393
610	389
607	392
486	390
446	390
281	402
61	389
589	387
283	387
20	411
3	421
36	413
28	403
625	386
577	395
7	384
388	390
335	383
41	384
254	412
278	435
266	430
265	420
255	418
251	400
230	389
16	382
607	383
20	382
523	381
620	381
485	382
602	377
588	379
34	376
464	392
488	374
598	371
467	369
357	369
172	369
614	370
26	374
20	372
68	365
7	373
611	362
481	363
475	363
322	360
22	360
1	358
215	355
648	356
470	355
206	357
558	354
553	360
638	353
455	368
450	369
395	356
544	356
567	374
593	363
565	363
563	361
497	350
399	348
618	347
192	355
190	353
43	375
623	347
581	347
569	344
482	347
243	346
39	344
469	344
224	362
237	366
234	366
231	356
219	347
442	342
638	341
555	343
445	357
480	340
208	341
160	339
624	340
618	339
575	338
445	336
413	339
634	339
604	339
57	334
360	341
641	334
561	333
475	333
635	374
650	380
653	376
638	362
481	331
448	332
466	335
366	332
16	328
606	327
581	326
224	326
414	326
1	327
601	323
231	330
187	322
566	324
561	321
419	323
38	333
41	331
654	323
621	323
472	321
223	319
577	322
192	315
63	315
657	314
393	315
32	315
17	314
626	315
414	314
657	311
613	310
469	309
395	311
36	306
381	312
656	304
59	309
17	306
370	304
137	303
491	304
602	301
71	303
608	310
374	299
9	329
14	354
4	346
5	315
497	299
614	297
600	297
609	296
604	297
190	301
45	308
46	308
657	294
199	294
15	294
5	294
641	318
640	325
640	321
495	290
387	288
631	298
618	289
598	287
382	286
134	286
122	286
344	285
169	287
462	285
655	286
459	283
38	283
168	281
15	281
9	286
606	283
345	280
183	282
315	281
300	278
32	294
35	296
449	277
645	280
646	281
62	276
14	274
634	274
502	274
39	274
566	273
323	271
32	272
131	275
103	271
81	268
155	267
25	268
656	267
344	265
603	272
452	261
196	264
116	261
403	265
322	260
569	261
450	266
116	264
597	256
582	303
570	307
576	283
356	260
194	256
30	260
2	263
572	255
498	260
612	257
132	260
13	254
9	254
440	255
603	251
37	252
5	251
612	250
621	255
380	251
14	248
575	251
361	250
601	246
629	246
496	247
131	245
7	247
333	250
24	253
401	244
347	242
604	242
188	250
24	241
644	247
486	241
2	241
656	240
272	239
48	259
52	249
168	238
382	240
103	238
458	237
277	237
598	237
439	242
437	246
443	245
648	236
384	233
653	234
632	233
626	237
588	239
575	235
394	235
622	230
481	230
487	231
407	231
400	231
183	234
43	227
205	224
29	231
37	230
652	221
251	221
400	221
656	221
570	220
204	219
199	219
46	219
251	217
169	219
560	221
502	221
499	216
121	235
122	244
29	218
615	219
622	217
160	212
504	212
60	232
68	224
46	211
656	210
558	208
257	209
617	208
240	212
27	206
568	210
112	204
41	209
159	239
171	259
172	251
165	251
117	214
117	221
115	214
651	203
499	204
138	208
15	216
593	216
600	218
582	211
241	201
42	200
27	201
39	198
61	197
616	195
355	195
47	198
602	195
632	211
573	197
57	198
196	195
49	188
631	188
361	187
352	189
255	187
244	192
245	189
