X	Y
543	491
526	490
353	490
307	490
644	489
620	490
615	488
540	488
199	490
516	489
186	489
389	487
376	488
319	486
5	488
546	485
395	484
238	484
162	484
161	488
472	487
448	483
406	487
24	487
175	480
120	486
123	484
112	480
14	481
568	485
520	478
239	478
534	483
449	477
186	478
174	476
118	475
113	475
539	473
652	476
449	473
220	472
526	471
110	470
539	469
224	469
67	468
14	467
104	468
9	468
519	467
112	464
96	467
467	465
176	470
146	471
144	462
17	462
441	460
535	459
117	462
448	463
539	459
624	459
9	458
551	458
124	457
652	460
183	455
150	453
564	449
134	451
657	448
559	446
511	446
77	446
657	443
565	443
493	467
490	489
499	483
494	483
496	475
502	474
493	474
489	463
577	445
126	444
556	443
509	441
128	440
108	441
61	441
104	449
99	451
630	437
516	442
53	438
524	436
594	439
483	439
642	452
492	433
402	436
81	432
76	436
44	439
398	430
126	430
578	434
657	428
526	429
413	438
135	428
497	423
400	424
614	424
54	421
656	422
136	421
62	417
570	422
115	424
120	421
656	415
51	416
95	423
656	410
551	408
584	414
120	404
16	404
654	403
550	401
544	400
17	398
5	403
529	397
607	393
573	403
598	398
590	390
119	391
12	393
610	389
19	385
606	385
566	391
47	381
587	389
45	375
62	376
100	394
88	401
560	373
80	370
636	368
99	369
67	407
62	426
75	413
71	403
49	430
52	487
88	485
52	484
83	483
41	484
48	481
73	483
43	472
57	448
33	439
9	429
29	390
27	379
32	379
2	369
570	371
68	371
42	369
608	365
7	376
4	381
91	364
618	363
576	363
569	363
62	363
594	368
20	362
616	359
25	358
630	356
563	356
68	357
612	356
99	353
640	358
616	352
78	355
30	354
7	357
1	352
604	354
92	353
86	349
6	350
618	347
11	345
635	347
602	418
589	484
586	482
596	482
557	473
604	467
596	466
587	468
593	462
596	457
612	452
602	451
610	442
619	435
601	427
631	421
634	420
633	409
640	393
630	392
631	394
635	380
642	379
620	370
623	361
626	360
585	347
653	342
24	342
1	342
89	340
6	341
19	340
14	339
649	337
643	338
600	337
26	336
656	338
87	336
550	334
82	333
12	331
641	333
576	348
577	355
16	328
654	326
625	331
624	330
606	323
4	328
28	324
51	348
54	366
46	318
651	319
62	315
1	316
17	314
602	329
609	339
601	323
555	312
635	315
646	311
24	310
612	309
37	313
570	307
11	314
632	306
1	306
7	307
639	302
55	306
614	299
605	299
653	304
7	296
581	298
80	294
61	294
70	291
65	291
630	288
578	288
655	288
17	294
18	302
18	297
15	291
572	283
1	283
565	283
47	293
42	300
46	283
634	283
654	279
560	278
557	277
14	274
564	273
60	275
577	270
615	272
608	279
615	283
81	268
586	272
602	264
577	264
622	262
569	261
613	260
638	288
622	256
27	278
33	283
28	275
24	268
35	259
14	254
581	253
51	264
52	261
649	253
626	252
81	251
41	251
568	252
19	251
644	250
71	263
654	254
35	250
60	246
31	240
65	237
40	238
25	238
70	239
603	248
576	235
56	232
10	244
656	237
64	232
633	237
611	238
603	234
79	226
617	224
57	225
45	235
579	222
575	222
30	229
600	218
56	218
649	220
579	217
654	220
594	221
85	216
62	219
46	219
17	219
9	214
1	218
610	215
643	224
657	209
573	209
75	220
14	208
9	208
590	203
63	208
608	201
648	203
583	203
28	207
26	203
39	199
61	195
616	211
622	212
635	199
69	194
34	190
656	194
61	190
63	187
636	187
67	185
28	187
22	187
591	194
596	199
601	188
596	190
625	189
28	180
606	179
656	181
601	176
24	176
9	183
13	187
1	177
78	175
73	182
575	175
641	176
74	171
640	169
595	171
73	167
64	166
47	190
37	171
563	165
79	167
24	167
16	164
628	169
579	163
569	160
34	161
25	160
8	167
655	161
649	164
80	157
49	159
540	150
41	150
10	153
617	159
613	164
614	155
66	154
64	154
538	142
55	147
55	147
11	145
559	144
2	142
639	142
534	140
94	141
632	141
582	145
38	140
595	148
558	137
24	146
1	136
598	134
10	137
648	145
654	146
45	136
582	132
594	135
87	126
43	126
110	125
542	122
590	117
585	112
78	117
64	110
91	108
572	124
571	131
566	126
576	119
84	107
531	103
62	103
566	94
335	96
656	96
66	121
518	94
60	92
579	95
657	87
533	91
606	106
557	87
495	85
46	85
4	85
74	91
594	80
6	80
2	81
58	79
543	78
604	78
501	82
496	79
512	77
582	77
589	74
641	70
598	70
526	78
145	74
15	70
325	68
52	67
577	64
344	67
6	68
502	68
508	70
593	62
627	103
632	110
650	107
616	91
630	87
627	85
620	69
610	69
352	56
171	56
571	54
85	63
534	54
488	54
89	54
166	54
159	56
319	49
644	63
645	50
582	52
546	52
77	48
351	50
152	57
593	47
499	48
488	45
165	46
150	43
638	41
631	43
617	43
313	42
3	43
308	39
491	41
169	40
651	37
563	37
568	35
431	35
303	38
497	35
91	50
99	51
97	47
561	60
566	72
542	34
27	33
19	33
528	52
525	56
510	35
182	31
568	30
475	35
211	30
494	28
46	28
635	28
446	26
645	25
506	40
509	53
93	27
3	27
656	25
494	23
559	25
320	22
21	22
85	22
35	21
101	21
305	18
608	19
542	25
254	16
234	16
57	17
22	16
11	19
488	22
259	14
655	14
649	14
598	19
523	19
465	18
17	16
593	11
409	12
618	20
588	9
9	9
653	8
349	8
260	8
641	6
493	6
481	10
602	8
528	4
258	4
51	5
656	4
628	5
509	10
401	3
454	7
263	2
654	1
647	2
637	1
601	2
570	30
609	51
604	45
604	42
572	24
587	19
577	20
561	11
564	10
574	6
569	3
538	1
491	1
474	1
457	2
438	16
436	18
418	2
374	1
362	1
268	5
238	8
228	8
229	3
244	3
208	15
210	15
191	10
