X	Y
640	492
40	492
656	491
647	490
228	488
3	490
203	488
604	487
230	485
217	487
16	486
220	480
27	480
428	477
118	475
432	473
218	471
423	471
213	467
64	467
53	465
9	464
220	462
201	463
59	458
3	459
54	457
48	456
9	446
656	443
89	440
85	432
81	432
652	433
98	452
657	426
41	420
654	419
85	419
96	414
22	415
657	408
86	402
598	397
12	379
571	374
3	371
562	369
1	369
2	361
564	361
571	350
656	348
545	345
88	340
70	339
40	341
39	336
575	340
551	335
548	334
555	333
628	328
559	328
581	344
564	324
593	333
576	320
32	321
609	315
656	307
624	312
566	312
35	304
656	299
620	293
70	291
583	290
575	296
43	288
638	287
37	291
646	283
30	272
1	270
657	269
618	275
656	261
649	280
640	301
649	338
643	329
649	324
645	318
641	313
10	254
655	254
603	251
587	243
653	238
655	222
26	221
617	221
627	221
12	218
631	209
633	231
18	187
605	187
601	179
622	177
643	196
653	175
595	171
622	163
22	170
17	173
21	172
572	155
563	154
29	148
1	147
29	137
594	137
651	138
626	118
609	151
614	171
573	166
616	154
606	146
632	137
568	112
604	107
615	105
639	98
544	93
638	94
657	87
592	78
646	75
590	73
2	80
553	69
634	62
564	64
134	62
152	65
604	60
112	59
638	58
619	95
648	124
636	108
638	85
648	84
621	81
635	79
602	69
146	53
476	50
643	50
584	45
118	45
648	43
642	41
654	33
99	32
638	30
647	32
11	25
1	27
606	19
601	19
17	17
648	19
473	13
604	12
248	10
200	7
17	9
641	6
152	10
144	6
7	10
1	5
653	9
622	10
244	3
657	1
647	4
619	1
609	2
596	3
366	1
232	5
160	2
152	2
145	1
329	246
477	491
573	490
194	490
569	488
551	488
474	486
124	486
83	487
532	485
299	486
276	485
293	484
43	484
505	484
359	483
53	483
586	482
574	483
283	484
546	481
355	482
184	483
553	480
515	482
141	483
45	481
107	483
581	480
491	483
269	483
573	479
308	477
303	477
300	476
297	476
262	477
66	476
283	477
593	474
484	475
356	475
253	476
67	480
350	475
59	473
507	476
471	473
395	474
379	477
287	472
129	478
602	473
595	469
269	469
394	468
278	469
176	468
253	469
150	467
554	469
469	467
369	468
354	467
243	468
148	466
37	467
595	465
549	465
399	465
397	465
379	465
81	465
603	465
557	464
543	467
185	475
140	467
28	466
274	465
606	462
419	461
394	462
388	462
381	461
214	461
79	461
441	461
246	460
136	461
23	461
301	459
21	459
314	467
79	458
610	458
440	457
403	458
396	457
367	458
351	461
285	459
209	457
613	456
438	456
331	459
250	456
213	456
22	456
264	461
253	459
606	454
425	454
291	455
243	455
483	454
433	454
258	453
227	455
404	452
389	453
612	450
321	454
284	452
396	450
291	449
382	451
243	449
191	450
147	451
35	451
606	448
332	449
253	449
225	446
220	448
233	450
463	444
403	445
22	444
188	444
466	442
438	442
237	442
229	443
31	444
458	444
122	442
109	445
433	440
405	440
303	445
293	443
179	440
144	443
57	442
43	443
442	441
395	441
209	443
381	438
281	443
243	436
186	437
428	437
378	435
259	435
467	434
223	437
17	436
372	442
240	433
195	433
162	461
169	459
179	456
179	450
166	447
159	446
166	442
51	436
6	433
436	432
268	441
251	436
411	440
628	429
445	432
313	431
284	431
104	430
348	443
356	450
248	428
378	428
320	428
51	428
628	426
499	426
434	426
420	426
389	426
292	428
184	428
142	426
474	426
380	425
281	426
457	424
411	426
237	431
545	423
473	449
457	457
355	424
188	422
189	421
171	422
151	429
62	422
54	422
197	427
505	420
326	420
248	420
200	420
4	419
415	419
378	419
339	418
179	419
486	418
427	422
408	419
360	418
321	432
321	442
297	417
275	419
184	417
354	417
303	421
269	416
243	416
171	417
156	417
311	417
617	414
469	414
417	414
247	413
188	414
603	415
466	412
304	413
3	412
409	413
308	411
249	411
174	412
470	410
458	411
316	412
160	412
608	411
397	415
350	409
588	440
585	461
577	449
562	441
586	437
563	430
582	427
561	408
453	408
404	408
389	415
355	409
278	411
264	419
242	409
209	409
201	412
168	409
256	410
195	410
554	414
552	414
486	405
203	406
189	405
126	428
131	436
124	433
118	427
125	413
28	405
335	413
11	409
234	410
140	403
135	403
563	403
458	403
423	407
250	404
149	402
510	401
466	403
401	404
127	403
611	403
354	401
322	403
295	409
257	400
242	400
194	402
33	402
22	400
166	401
471	398
428	399
134	398
342	401
502	397
474	396
292	397
130	396
395	396
351	397
251	397
227	400
156	400
463	396
456	395
217	416
212	427
211	395
498	393
330	398
165	394
574	400
443	411
446	420
311	395
293	390
609	389
580	394
569	389
493	389
483	395
651	387
503	387
297	387
493	385
403	388
483	385
465	388
284	392
271	384
113	386
70	387
476	385
451	388
266	383
226	386
203	390
497	381
651	380
531	382
191	381
397	380
132	379
537	379
374	399
219	380
475	378
418	378
232	379
225	377
421	392
387	387
24	379
534	433
502	449
526	449
528	417
521	417
510	407
521	395
530	395
133	375
146	382
525	373
495	376
199	374
484	377
322	372
313	372
427	371
142	371
116	371
274	376
146	372
267	371
505	371
400	368
396	371
299	371
221	369
175	390
174	401
522	370
28	371
170	366
112	387
105	392
106	387
104	382
435	368
351	365
135	365
58	378
260	385
530	366
489	363
373	363
369	363
651	363
541	362
165	362
114	362
17	362
544	370
516	363
507	362
393	361
337	366
313	362
194	369
482	363
464	370
448	367
431	360
416	366
334	363
308	363
231	363
205	362
200	361
186	362
127	362
109	361
49	363
636	360
213	366
212	366
125	359
19	359
654	358
265	358
124	358
534	359
477	357
434	358
381	357
164	358
159	357
266	355
228	357
322	359
95	361
91	358
15	355
551	356
435	353
75	356
67	354
515	354
495	361
395	355
374	355
335	381
361	381
334	354
298	358
216	353
173	359
100	355
43	371
48	374
527	352
258	353
54	355
400	348
187	349
177	349
144	360
140	356
458	348
313	348
279	365
245	368
25	347
181	346
98	348
46	346
533	346
255	345
215	346
204	352
198	347
65	345
498	345
481	349
468	349
445	352
427	347
355	347
