X	Y
610	492
161	491
376	490
215	491
534	490
654	490
644	489
623	490
609	488
552	488
384	490
196	490
3	490
543	488
326	487
245	489
374	487
334	488
402	488
83	488
505	488
395	484
328	484
226	488
226	487
11	486
364	487
235	485
83	483
416	484
219	482
232	480
182	486
178	485
147	486
535	479
487	481
140	481
132	479
76	479
150	478
523	484
523	483
522	482
494	478
440	484
444	487
440	484
449	485
440	477
416	478
22	478
17	478
115	484
93	483
402	474
511	476
651	476
635	475
214	480
185	475
139	473
121	473
22	473
17	473
617	475
503	476
471	472
70	476
207	471
199	470
154	473
14	470
530	471
227	473
227	475
213	467
129	469
459	465
504	467
178	465
154	464
440	463
655	465
526	464
518	462
638	462
633	462
625	462
480	462
196	466
192	461
186	463
138	462
64	465
656	459
565	461
510	460
492	459
320	459
648	460
451	463
154	460
535	457
520	457
492	457
478	474
468	484
465	483
492	468
464	464
138	458
3	459
529	456
463	457
353	457
166	473
147	462
68	455
368	454
142	454
115	459
113	459
390	450
368	449
155	452
643	448
545	461
476	451
341	453
171	452
163	449
149	450
103	456
91	464
100	476
98	473
88	471
70	448
36	448
167	447
126	451
1	451
507	446
381	452
638	451
373	446
587	448
520	443
322	448
302	449
126	442
601	441
562	448
350	444
553	441
394	443
331	440
376	438
36	440
652	438
511	439
2	438
484	440
54	437
157	440
155	440
109	439
336	434
118	434
79	436
544	435
526	441
84	443
494	444
483	450
499	441
505	435
488	432
550	430
333	429
108	430
657	428
360	438
361	435
330	427
142	438
134	428
73	427
51	428
587	429
526	426
499	427
563	425
97	427
304	425
61	437
285	424
151	423
398	423
62	422
493	422
279	422
1	426
656	422
20	420
99	419
657	417
574	426
390	419
351	416
304	416
71	420
62	416
40	454
40	485
43	482
44	472
20	436
43	429
10	425
307	419
50	419
599	453
574	490
584	485
589	483
595	483
603	474
592	468
593	466
598	461
611	456
606	452
613	445
619	443
627	427
634	422
600	414
412	416
65	414
30	414
570	415
113	420
120	416
25	413
1	414
558	412
515	421
517	417
610	416
417	409
120	408
12	409
632	409
426	408
387	406
346	409
573	403
16	404
635	403
622	406
542	414
608	403
580	403
402	412
209	399
392	398
100	398
633	398
535	398
523	399
435	402
344	398
25	403
401	399
349	399
488	394
384	397
102	393
28	394
591	407
595	409
344	393
247	392
47	392
395	392
106	391
5	401
522	392
478	394
348	391
472	391
250	390
71	398
581	389
383	389
153	389
30	389
654	390
485	389
173	387
589	387
283	387
161	387
422	393
396	385
528	389
406	387
387	384
247	385
70	384
480	385
470	383
464	384
449	384
196	383
151	385
310	383
105	383
100	382
558	382
342	381
208	382
3	384
166	382
46	382
34	380
473	378
200	378
588	379
618	379
467	378
249	377
592	374
568	374
618	389
606	394
612	393
611	388
276	380
48	393
32	372
598	371
269	372
608	371
566	369
476	371
464	369
436	383
312	371
219	370
28	368
19	379
4	375
3	371
624	368
486	369
43	370
608	365
279	366
595	366
581	365
447	365
623	363
548	365
455	364
443	363
630	360
624	359
365	363
597	359
593	358
551	383
546	393
550	377
381	357
332	402
314	438
317	436
299	435
314	433
322	429
343	427
377	423
358	414
293	412
362	410
318	410
285	403
316	403
327	396
297	388
340	371
356	368
40	358
32	358
642	355
624	356
547	356
344	357
631	355
643	380
420	353
288	358
65	352
21	358
603	351
296	356
168	351
124	350
13	356
561	357
471	356
470	356
384	350
222	355
176	356
622	350
592	351
434	349
429	349
335	353
237	349
359	351
220	347
216	347
21	348
379	345
131	348
11	345
552	345
430	344
425	345
421	344
210	348
167	344
32	344
652	348
368	347
4	353
1	344
575	370
51	342
633	342
178	342
128	343
480	341
33	339
180	338
620	343
565	339
456	339
349	345
350	348
124	336
359	335
230	343
133	338
579	338
605	346
553	335
297	338
82	333
22	338
640	338
427	333
175	333
153	334
88	335
144	337
595	331
442	345
443	352
558	329
156	329
636	329
601	329
407	353
404	369
394	363
390	342
394	339
403	340
629	326
623	326
21	327
606	323
655	331
625	322
203	323
307	321
371	321
629	320
385	320
46	318
116	317
389	315
384	315
619	318
591	327
577	320
565	316
562	313
372	313
287	312
209	317
11	315
582	315
558	312
148	320
651	318
638	311
634	311
197	314
195	314
73	311
9	327
356	315
285	308
503	314
182	307
177	307
575	307
444	314
440	313
193	306
8	307
647	306
433	305
403	305
13	304
613	306
374	307
35	304
626	306
407	302
358	304
208	341
203	363
193	345
194	340
222	333
584	301
501	303
347	300
308	300
243	301
374	299
475	299
83	297
438	298
394	303
395	305
25	309
20	317
7	296
471	296
260	344
277	358
269	358
265	355
275	348
268	348
251	340
279	340
256	351
251	362
246	334
284	330
278	324
252	325
245	317
269	323
264	328
250	314
260	307
161	297
75	302
323	294
105	294
66	361
86	393
42	347
41	337
75	337
47	329
49	309
656	294
558	293
194	294
507	291
212	299
38	292
648	295
409	294
363	294
653	289
518	292
71	291
65	289
627	290
629	287
611	291
323	288
531	293
336	335
323	363
315	348
309	340
376	331
355	328
323	308
327	324
333	333
332	324
306	306
331	306
307	292
58	286
416	284
76	283
563	283
1	283
570	287
459	280
465	314
480	323
459	299
433	282
318	280
158	280
487	282
153	279
121	287
49	283
617	279
512	278
314	283
167	279
645	282
395	287
396	284
332	287
302	279
267	277
19	278
406	277
357	277
337	277
631	276
603	280
583	286
430	276
367	275
644	273
453	273
156	274
585	272
498	281
348	284
294	271
287	272
283	285
276	288
273	285
280	284
17	273
502	270
655	276
300	270
269	272
398	270
273	266
155	267
622	267
601	287
302	265
264	267
102	265
112	267
632	266
502	263
435	267
432	262
277	265
470	261
445	265
356	265
293	260
153	262
450	259
274	259
597	259
454	260
259	259
125	268
64	268
657	260
502	256
16	259
6	258
296	257
134	256
226	255
25	274
