X	Y
646	492
541	492
235	492
193	491
560	489
619	490
605	489
225	489
32	487
567	489
136	488
448	488
424	485
413	488
427	483
249	484
83	483
219	482
214	482
1	484
639	486
504	480
465	481
410	481
203	485
104	480
395	485
134	481
115	485
32	480
190	482
93	478
654	478
422	478
416	478
508	484
529	476
496	472
470	472
423	473
174	482
523	473
198	471
655	472
641	470
439	471
617	470
508	474
211	473
494	468
521	467
641	464
500	464
10	474
488	464
185	463
629	462
590	461
190	467
196	466
512	459
505	459
155	475
648	464
138	458
57	458
521	459
520	459
496	457
555	457
168	455
147	455
160	455
86	454
61	454
473	453
151	453
66	461
621	458
474	471
146	450
638	451
631	449
473	449
159	448
511	447
142	446
127	448
11	446
654	443
649	443
552	445
514	443
568	444
560	443
81	451
78	447
545	438
154	438
84	438
580	441
544	433
652	435
556	434
515	442
523	438
49	429
657	426
526	426
499	427
556	424
120	429
87	428
567	425
550	426
492	435
491	427
544	421
515	423
656	421
596	439
147	420
610	417
604	414
563	414
126	413
583	451
581	489
547	487
553	483
579	482
573	479
582	476
584	470
582	470
597	469
580	467
610	459
565	461
533	457
613	453
610	449
622	437
623	433
622	431
636	419
624	420
617	414
635	410
115	414
21	408
575	420
96	410
94	411
581	408
16	400
510	399
656	400
22	399
110	397
99	400
527	398
548	405
553	411
46	396
656	394
59	399
520	396
4	393
603	403
598	409
529	390
589	387
606	385
73	385
47	386
619	382
526	384
100	382
66	436
76	489
57	485
49	482
65	483
55	479
48	477
20	454
28	453
115	449
113	442
108	435
18	432
27	428
19	426
42	422
30	421
65	420
45	419
46	418
34	415
44	414
77	395
575	379
92	378
62	380
70	374
32	372
598	371
53	376
612	370
535	366
79	372
54	366
631	363
582	373
581	377
67	367
638	362
611	362
574	364
64	361
32	358
547	356
20	379
3	368
551	360
54	355
656	353
636	380
618	401
626	392
634	395
636	386
649	363
600	354
595	350
44	365
656	348
651	349
1	349
545	349
609	347
17	347
635	347
28	349
26	346
577	351
591	366
91	343
621	358
621	358
623	347
603	338
552	333
22	337
32	332
601	329
556	328
647	336
644	338
81	327
605	326
548	328
47	336
579	334
624	323
601	323
32	324
591	333
568	321
6	337
617	320
18	318
563	321
601	315
646	316
578	317
34	315
570	311
12	320
36	306
16	306
4	305
47	303
83	302
649	313
652	315
65	299
641	297
556	297
43	303
80	295
81	292
626	293
638	289
578	288
574	298
569	299
22	288
618	289
656	286
82	286
60	289
587	283
627	283
617	308
574	283
656	281
607	283
22	282
617	279
654	277
558	280
562	286
7	287
647	285
632	284
603	276
14	274
566	272
156	271
656	270
614	270
607	269
111	269
4	270
655	265
588	271
118	267
650	268
656	262
602	266
116	261
274	259
648	256
573	257
46	259
13	254
581	253
105	258
161	253
626	253
645	252
568	252
40	284
30	300
34	291
51	269
30	269
19	251
56	249
45	250
6	255
4	251
654	251
571	243
636	243
632	243
113	241
25	244
17	244
626	243
257	243
653	238
565	238
105	237
151	235
111	235
632	233
587	239
245	232
118	233
55	238
602	234
222	230
656	230
222	227
237	231
245	227
644	235
643	227
15	231
652	221
100	221
601	220
204	219
591	220
584	220
579	219
58	222
37	231
613	239
604	245
610	225
614	220
607	216
71	224
28	218
55	215
9	213
262	213
63	217
297	214
120	211
636	210
255	220
570	223
555	209
275	211
156	220
153	221
160	215
155	217
78	209
12	209
154	208
653	215
582	206
577	206
561	206
27	206
245	207
67	204
228	203
27	201
58	201
303	203
34	198
4	209
2	203
61	195
239	207
203	194
68	195
136	191
64	190
387	188
4	189
636	187
605	187
591	191
585	185
580	185
394	184
71	185
202	184
28	183
571	182
606	179
601	179
262	180
256	178
405	179
337	180
217	193
211	202
221	196
225	196
218	187
571	175
421	179
622	174
656	176
426	174
379	175
350	178
215	174
34	169
652	169
406	171
177	169
40	189
41	203
42	202
55	182
56	167
257	165
637	166
628	188
605	203
621	165
363	165
29	169
18	163
649	160
359	158
265	160
259	159
628	161
365	155
267	153
50	163
359	152
8	167
654	158
214	152
391	167
395	175
392	163
385	158
644	151
323	148
70	153
578	147
230	144
51	148
598	146
315	142
54	142
12	145
66	143
639	137
588	149
39	145
649	140
374	136
196	131
179	132
65	131
15	129
303	126
211	126
203	128
353	129
280	172
284	198
251	195
246	195
291	195
248	193
272	195
288	186
286	184
278	187
284	182
291	180
299	179
287	176
290	173
274	172
269	171
283	168
294	163
288	163
285	162
301	164
257	146
283	147
269	139
304	137
283	137
290	135
261	138
260	134
285	132
219	125
43	126
43	126
629	134
623	137
618	123
35	124
335	124
292	120
265	120
211	121
171	121
38	120
631	119
315	128
568	118
198	119
583	120
334	151
327	173
332	164
340	163
347	155
340	147
338	140
346	140
654	113
597	145
597	124
548	113
20	115
566	113
533	112
267	110
25	112
537	108
97	108
617	107
249	112
235	107
19	107
232	144
221	154
229	122
91	111
625	105
221	111
216	109
96	104
640	116
255	116
224	103
120	104
617	102
24	103
534	101
656	101
25	125
27	138
32	108
230	99
120	98
48	99
573	97
43	99
515	94
82	102
542	98
37	94
538	94
525	100
617	90
520	90
615	94
646	91
1	87
655	90
564	86
106	102
108	100
655	84
648	84
603	96
143	86
635	81
594	80
111	84
610	80
519	81
573	74
241	79
216	74
207	72
115	70
655	70
639	74
223	82
628	83
489	69
139	75
141	73
52	67
502	65
649	65
577	64
126	81
115	64
657	64
497	62
637	62
486	62
6	62
632	61
219	62
1	61
510	59
117	59
75	57
517	59
142	60
164	56
81	57
220	56
211	58
151	58
649	56
100	66
168	51
593	50
576	56
656	49
636	53
545	48
493	48
169	48
137	55
484	47
452	46
472	45
173	45
118	42
1	44
446	41
200	40
169	41
163	38
96	45
83	38
648	42
550	70
537	64
160	35
554	40
204	33
561	32
27	33
634	30
461	37
191	31
185	32
655	31
209	28
85	32
125	33
626	39
614	27
607	32
457	26
227	23
611	19
223	16
639	21
637	19
507	19
215	19
217	20
101	14
511	15
237	14
475	24
337	14
29	13
13	20
624	11
588	9
552	10
638	9
620	11
602	11
142	8
9	9
544	10
656	6
593	6
614	6
321	8
544	4
307	3
73	3
654	1
649	1
648	12
631	8
594	2
579	58
591	99
606	62
588	30
571	33
577	26
541	25
578	21
577	19
568	17
563	18
570	13
508	31
503	49
507	49
531	10
532	6
512	6
488	6
474	1
470	6
363	6
324	2
253	5
175	1
155	6
178	24
134	43
123	14
182	5
107	7
289	246
267	489
280	485
365	483
299	484
373	484
341	478
324	480
369	477
293	480
277	479
276	479
237	473
228	473
288	472
252	474
397	471
377	474
346	473
245	473
244	469
258	469
356	468
236	467
359	465
361	464
292	467
268	469
362	463
221	462
222	461
324	460
422	460
399	460
348	463
234	459
344	456
324	456
349	455
345	455
219	456
218	451
441	450
424	450
195	449
299	445
244	454
251	461
442	443
238	441
230	443
203	442
444	440
408	440
192	440
181	443
250	438
292	437
293	435
267	436
197	436
447	434
292	434
206	434
185	435
173	435
387	435
222	442
211	433
313	432
166	437
437	429
242	430
232	430
192	429
290	427
284	427
278	428
237	428
460	427
451	432
379	427
393	428
443	429
337	425
293	424
241	425
244	423
400	422
163	422
275	442
286	456
291	451
364	419
462	418
443	418
354	420
371	417
286	417
506	414
483	414
404	416
307	413
297	417
450	418
209	413
205	412
468	416
467	410
309	419
213	410
147	409
142	410
499	409
393	405
466	402
123	403
350	411
130	402
499	397
492	398
261	396
474	395
387	409
386	403
277	413
267	401
125	395
503	395
321	439
335	448
325	444
299	435
330	427
327	396
286	395
234	395
283	390
387	389
130	388
180	388
323	386
297	388
347	386
233	385
124	387
155	387
349	383
147	389
162	380
118	381
352	379
123	379
539	378
512	378
470	377
467	382
335	383
236	379
160	378
298	379
350	375
154	378
137	378
307	373
194	375
517	373
508	369
110	373
313	387
270	381
147	371
135	371
113	368
498	370
267	369
486	366
258	366
155	368
113	365
522	365
254	365
467	363
286	363
372	368
113	363
253	360
164	369
254	356
250	356
157	358
113	356
207	354
169	354
523	356
373	354
163	353
198	362
177	353
142	352
126	352
99	356
387	347
210	347
532	346
525	346
371	347
106	347
339	361
99	343
211	341
530	340
528	340
193	341
101	339
110	338
533	337
258	339
206	337
105	337
520	339
300	338
200	344
119	347
520	335
302	335
254	333
119	333
103	332
339	332
133	331
537	329
228	330
113	329
281	328
302	327
533	327
524	327
182	353
106	326
195	330
106	323
322	321
126	322
319	343
322	352
313	339
208	375
230	414
246	410
231	409
224	406
188	403
182	408
158	400
202	393
191	385
221	376
232	353
233	349
209	323
141	327
513	316
150	316
93	316
284	317
206	316
108	317
100	316
537	315
275	315
203	314
145	315
453	313
217	313
134	316
214	315
554	314
335	312
558	310
538	310
213	309
310	315
310	308
49	308
330	308
307	307
124	311
546	306
301	307
539	305
114	304
548	303
105	306
544	300
257	301
281	345
285	371
285	341
272	337
270	331
96	300
494	298
264	297
289	297
483	297
409	298
547	294
477	293
250	292
506	291
323	291
112	290
422	289
319	289
259	290
101	294
442	287
322	285
282	284
251	285
477	283
174	282
550	281
257	281
100	282
72	288
437	278
547	278
342	276
284	279
151	279
96	278
364	275
272	281
496	275
331	278
251	276
540	273
147	274
290	290
279	297
319	275
305	269
373	267
178	267
285	266
549	268
473	266
493	279
264	271
252	264
541	264
299	266
553	262
374	261
323	262
378	260
304	260
291	262
260	259
252	259
150	259
519	259
331	263
316	260
284	258
213	259
191	263
538	255
87	254
433	265
66	253
521	252
431	251
375	251
541	251
356	252
324	251
66	249
315	249
272	250
130	280
137	304
130	291
86	248
92	251
187	306
151	346
130	342
171	334
190	319
223	315
176	311
231	306
192	306
158	292
214	290
234	274
227	277
238	251
96	246
554	244
365	243
177	252
475	243
304	241
300	249
95	241
79	248
309	241
192	247
366	244
84	237
268	241
546	235
359	240
139	235
413	233
358	233
200	240
167	232
177	231
432	241
140	230
391	246
386	253
384	237
171	230
549	228
415	227
406	227
207	237
402	227
390	226
279	240
270	228
133	226
81	227
517	227
375	227
314	225
541	228
421	224
281	224
536	220
417	220
518	221
426	219
90	218
515	217
128	222
556	220
548	218
506	218
445	217
537	216
521	214
418	213
423	214
142	212
482	210
490	210
321	211
312	211
184	211
540	211
431	211
412	210
425	339
384	455
408	450
413	448
371	451
378	440
359	438
410	432
353	434
421	433
419	422
422	419
414	420
426	414
419	413
448	392
375	392
361	396
464	392
419	387
457	385
407	387
371	387
422	382
427	379
364	383
452	379
414	381
395	380
403	373
400	367
446	366
452	364
443	363
433	386
434	400
432	387
436	379
431	365
393	361
385	363
433	358
381	357
512	355
394	355
478	350
473	348
505	344
361	339
443	347
415	352
411	355
438	333
362	332
382	321
496	338
495	320
395	322
334	320
427	321
485	318
383	315
488	314
375	312
394	310
341	300
434	299
429	307
427	306
328	297
348	296
335	296
536	291
387	291
436	286
372	293
430	284
523	283
528	275
524	276
502	273
415	261
344	263
345	257
532	242
534	238
341	245
195	210
520	208
512	210
129	205
459	208
542	204
91	203
481	204
510	201
465	256
465	286
464	270
454	262
472	251
462	233
485	229
453	224
473	227
497	221
472	203
433	201
337	201
530	210
319	203
313	201
477	200
466	201
98	201
426	197
427	196
571	196
478	195
472	195
350	197
319	195
93	196
441	195
367	195
93	194
536	195
420	199
409	196
356	195
100	194
469	192
373	192
552	190
490	198
435	192
83	193
412	187
544	186
450	199
476	187
122	190
181	186
99	184
559	185
545	180
155	179
457	177
434	179
158	177
139	178
108	177
552	178
444	180
466	174
448	173
538	173
78	172
531	172
109	167
537	165
457	168
547	168
194	162
108	161
101	162
523	163
516	180
520	193
501	188
505	172
516	174
512	168
187	162
162	168
128	170
421	160
158	157
166	155
160	155
108	155
447	159
202	159
171	154
197	150
524	152
469	148
164	149
133	148
470	146
170	147
159	148
510	152
448	148
418	147
117	145
562	147
517	145
483	146
428	145
197	144
157	142
428	141
407	141
116	141
409	140
562	139
413	138
204	139
108	140
556	140
524	139
435	140
418	138
382	140
156	136
540	147
541	143
130	135
126	135
390	134
94	163
91	163
94	155
95	147
100	145
442	132
471	132
94	130
441	130
116	129
91	129
537	131
514	128
499	131
137	138
480	126
518	124
364	127
508	126
146	124
114	123
72	123
503	122
132	126
534	123
134	147
138	120
513	119
359	118
192	116
140	117
5	116
509	114
381	114
481	148
484	177
479	163
462	160
494	155
470	155
494	150
454	136
459	131
478	113
467	115
191	114
130	113
500	115
314	112
192	112
155	112
196	110
201	108
9	108
332	107
147	112
443	106
206	105
337	104
152	103
363	107
151	100
167	104
9	99
468	98
393	97
273	98
297	98
294	94
482	101
479	101
12	91
494	89
480	89
160	95
441	91
447	90
261	86
169	87
441	84
500	84
481	83
453	84
256	83
492	83
473	83
464	83
433	83
279	83
328	82
188	82
20	83
171	79
277	77
308	85
266	76
186	77
322	93
310	103
171	75
56	80
464	75
170	74
277	73
468	72
455	75
11	79
191	79
371	70
269	70
266	67
161	68
454	66
178	67
275	66
194	67
445	65
434	64
159	64
456	60
386	61
444	59
325	58
412	56
42	56
33	54
245	56
30	52
443	52
365	51
195	50
421	49
248	50
50	53
410	50
218	48
68	48
418	46
295	46
436	43
409	43
355	46
266	43
214	43
412	42
372	52
330	41
418	88
432	126
419	124
432	116
449	110
454	107
419	83
427	74
380	73
411	83
398	56
396	49
391	46
356	77
352	101
382	91
377	89
371	84
364	78
354	69
250	42
274	41
244	41
261	37
259	42
219	37
390	36
340	37
235	36
413	34
405	35
347	34
268	35
256	34
58	35
414	33
61	33
262	32
439	30
341	29
101	29
350	27
282	28
372	32
293	23
258	23
382	22
88	21
372	20
305	52
269	61
295	66
295	64
266	58
296	56
285	40
302	40
295	39
66	20
347	17
279	20
425	16
77	16
288	15
275	11
403	10
398	20
92	12
299	11
280	7
299	6
416	6
410	6
85	5
422	4
416	3
88	3
64	4
54	1
47	2
32	8
2	4
