X	Y
358	492
40	491
201	489
611	490
398	489
11	490
2	490
422	487
551	489
443	485
410	488
400	484
395	484
217	488
219	482
323	480
198	483
26	486
15	481
486	479
208	479
637	484
523	478
609	477
66	477
648	475
609	474
463	477
91	473
656	472
625	475
470	472
423	477
654	471
184	481
446	470
56	471
5	470
1	470
618	470
480	470
302	470
118	470
14	468
475	468
96	467
1	465
83	467
74	465
175	463
129	465
497	463
309	463
469	461
450	460
196	467
164	476
164	486
163	481
63	467
518	461
188	459
120	459
459	463
518	474
506	488
525	486
532	485
515	484
113	459
652	461
655	462
501	457
339	457
179	459
147	457
552	471
317	455
164	454
356	449
9	457
496	447
556	454
542	446
656	446
504	446
169	445
575	446
542	441
499	442
642	444
558	441
262	441
161	454
158	462
134	439
656	439
630	437
607	437
259	437
1	435
349	433
564	435
541	430
62	432
632	430
619	430
613	429
116	428
486	435
570	428
652	430
619	424
543	425
510	424
350	425
310	424
104	425
87	430
88	425
603	431
501	424
61	422
508	421
359	421
657	420
517	445
360	426
340	425
504	417
355	417
598	454
574	490
577	484
587	482
582	479
590	478
594	475
588	473
604	464
613	458
570	459
586	458
609	455
595	459
105	417
344	416
636	415
563	419
358	415
656	415
631	423
518	414
622	411
596	414
98	411
89	411
538	413
534	410
343	408
336	411
616	408
107	406
537	404
16	404
356	406
654	403
621	402
524	401
340	401
614	400
632	404
520	397
347	404
23	398
13	419
17	435
2	418
657	396
630	394
536	393
585	395
86	398
563	415
554	425
568	403
542	398
111	393
625	391
80	391
15	394
3	389
119	389
558	387
619	382
605	399
605	385
599	376
24	379
105	374
632	371
5	373
3	371
630	363
561	365
589	379
367	360
19	373
12	360
630	358
615	368
617	372
612	356
608	355
6	357
101	377
97	376
12	353
574	350
644	377
652	385
650	381
652	377
649	366
6	346
603	347
594	348
1	345
566	349
26	349
620	348
630	342
610	341
585	341
561	368
577	363
647	339
75	343
11	341
624	338
614	338
575	341
19	343
1	337
655	339
25	336
651	334
633	334
561	334
27	331
588	334
12	331
566	329
16	328
1	326
639	331
87	324
652	325
621	323
582	320
657	319
610	323
559	318
17	318
549	318
582	315
1	316
598	327
600	323
555	312
9	311
65	310
1	310
647	310
34	309
23	309
611	309
635	313
635	317
635	310
35	304
74	311
65	303
28	299
656	303
70	291
17	291
75	295
558	286
650	293
603	283
22	284
71	277
599	291
651	275
644	273
605	275
11	305
4	292
631	286
629	283
24	270
20	269
5	268
656	266
615	283
611	264
597	259
565	272
17	259
630	254
58	262
80	251
44	253
603	251
17	251
648	255
644	250
570	251
21	249
35	251
95	246
59	246
42	246
65	246
626	247
656	245
601	240
614	251
649	238
634	241
11	246
70	238
619	235
21	235
9	233
624	233
636	230
33	227
632	225
559	226
26	222
655	227
619	221
652	218
639	220
595	245
582	245
589	241
612	229
609	228
575	216
1	219
56	215
646	214
4	214
557	215
579	211
570	215
611	212
559	205
26	203
608	201
591	203
22	203
594	195
641	202
5	195
599	200
1	195
582	199
62	206
65	209
66	202
43	192
654	197
617	202
639	186
53	183
606	179
62	178
647	179
1	177
10	194
13	187
606	174
51	176
44	174
86	172
622	173
53	169
637	172
606	168
4	171
25	167
28	166
74	181
563	162
570	179
564	188
574	181
567	183
656	162
596	174
592	180
83	163
592	155
94	155
613	163
553	153
597	151
565	154
89	150
55	160
585	151
6	157
596	144
538	142
558	141
640	139
540	136
553	137
651	143
638	133
3	133
22	130
17	129
45	129
25	126
35	187
36	217
35	169
9	136
637	151
628	150
625	134
44	121
39	123
68	138
57	139
27	121
627	118
12	121
4	122
533	119
613	120
549	116
57	110
62	109
652	105
580	102
125	96
544	93
656	93
577	92
568	103
521	90
72	84
655	82
52	96
646	87
504	79
532	87
530	84
355	77
657	76
144	77
372	77
516	75
382	73
356	72
352	72
578	75
572	71
324	69
566	68
492	72
385	67
115	67
550	65
383	63
497	62
152	62
604	60
546	59
537	67
538	65
112	59
525	59
652	64
63	59
644	54
21	59
543	52
62	51
105	52
636	53
562	49
141	49
24	48
129	51
122	56
3	50
641	46
139	43
80	44
341	47
304	43
1	41
627	51
621	43
156	46
5	41
507	55
504	54
533	47
526	40
343	38
309	39
643	40
558	38
552	37
443	37
370	35
542	36
459	34
531	34
177	33
165	36
513	40
146	35
126	32
113	32
559	32
550	30
545	30
493	32
121	36
636	34
43	29
471	30
151	26
96	26
641	25
556	25
452	32
455	38
39	27
501	27
144	26
477	22
562	18
447	22
17	20
467	20
598	21
454	19
533	14
490	22
654	26
434	16
418	18
543	19
547	18
391	12
9	13
590	10
310	9
423	7
639	6
479	11
476	11
446	5
256	5
175	6
614	6
73	3
655	3
648	1
627	12
614	1
604	8
592	72
598	130
644	125
649	123
644	121
638	114
645	109
636	106
601	96
622	93
598	91
633	84
609	72
603	47
575	38
584	19
580	20
577	17
576	12
579	13
570	10
557	8
537	6
562	3
536	1
529	1
512	16
469	4
463	1
451	2
436	5
419	5
417	2
367	1
225	1
211	1
200	10
158	16
163	11
166	9
296	246
484	490
283	489
329	486
280	486
281	485
270	485
66	486
470	484
350	483
83	483
76	483
365	483
266	481
49	482
361	479
335	482
371	477
404	477
398	476
347	476
292	477
363	476
274	476
260	476
369	474
288	474
388	474
284	474
252	473
252	480
34	473
496	472
406	472
401	472
236	475
270	472
394	470
271	470
290	471
257	469
374	468
273	468
251	468
234	468
409	468
342	469
295	467
280	467
255	467
404	467
323	468
283	466
42	467
37	468
28	468
430	465
393	466
361	468
33	465
398	467
429	463
416	465
244	465
404	461
401	461
267	464
371	461
422	458
203	459
29	459
250	458
241	458
228	458
257	460
22	458
483	454
402	454
445	452
413	454
291	452
243	452
421	452
375	451
258	451
203	452
452	451
402	448
251	451
205	448
445	447
384	455
270	447
198	446
56	446
50	444
194	442
188	442
182	443
123	444
460	446
236	447
196	441
399	446
309	441
242	442
177	441
470	439
290	439
249	439
285	438
240	438
231	439
467	440
214	445
186	436
288	435
279	435
180	435
170	435
309	434
287	434
220	436
402	434
230	434
225	434
390	435
453	431
434	432
418	434
423	440
380	431
147	433
427	430
329	429
44	440
395	433
436	427
50	427
291	427
180	427
72	427
403	427
163	426
142	426
231	426
380	436
481	421
477	421
140	420
437	421
241	425
199	420
163	417
251	416
454	416
170	415
262	414
233	417
450	411
225	420
164	411
147	410
380	416
186	422
198	431
186	409
307	410
284	408
52	411
490	406
285	406
491	405
243	407
228	403
481	402
275	404
162	404
140	409
457	411
456	408
373	407
374	404
126	398
487	397
144	396
502	394
491	396
56	401
330	393
129	395
509	393
312	392
292	396
129	392
35	391
283	394
266	390
296	390
498	388
298	387
157	388
513	389
271	392
507	384
338	383
266	384
270	408
148	388
529	379
165	379
521	382
525	373
84	376
121	371
504	371
140	371
380	372
135	369
131	372
331	371
146	376
321	366
313	367
517	363
146	364
185	365
178	363
117	362
128	363
121	364
108	363
324	361
317	361
181	360
138	363
530	361
127	358
259	361
122	358
356	357
197	356
529	356
154	356
525	355
111	356
218	357
122	353
355	352
230	360
188	355
284	350
149	351
170	379
168	370
164	363
52	358
369	349
314	348
539	347
524	346
357	350
338	350
229	345
45	347
170	346
533	342
355	342
161	343
340	340
312	340
248	348
247	345
201	338
165	339
334	338
181	337
179	344
169	338
105	339
355	336
234	339
88	339
51	339
45	337
536	336
303	343
86	334
247	334
51	333
539	333
288	333
114	331
59	336
406	331
259	339
228	330
210	329
401	329
525	325
516	327
41	325
98	324
209	321
101	321
533	325
354	320
525	320
269	320
216	323
147	338
137	337
127	341
130	335
144	332
539	316
129	316
384	315
380	317
161	316
228	316
211	315
166	315
98	315
539	313
524	314
235	319
214	313
268	312
244	317
299	310
406	309
208	309
531	307
280	326
282	329
105	308
378	309
150	311
113	307
104	306
284	307
221	307
109	308
341	304
233	306
211	304
113	302
282	302
258	314
579	301
90	301
106	300
101	302
111	299
215	300
170	298
292	298
222	298
49	312
155	303
387	294
106	294
97	293
257	292
249	291
376	299
259	289
387	288
282	292
98	286
586	285
542	284
381	283
327	285
548	282
374	281
357	282
289	284
507	279
264	294
496	277
334	276
253	276
280	276
85	275
217	276
84	274
285	275
267	275
367	274
339	269
355	273
354	276
334	304
297	330
342	328
336	328
323	324
329	323
326	318
318	313
317	298
345	287
341	284
312	274
212	269
155	267
110	270
345	265
331	272
87	276
85	266
298	269
539	261
311	261
292	259
132	259
238	280
350	254
104	254
327	257
554	255
321	251
485	252
482	251
313	250
217	258
121	252
304	252
272	260
278	263
274	259
269	259
278	255
230	263
232	251
227	251
259	244
243	244
561	243
292	242
273	243
497	249
224	241
515	242
540	237
487	237
211	237
235	240
207	238
199	235
333	231
366	229
234	230
184	229
92	229
296	233
296	236
239	227
138	227
539	227
348	226
306	236
264	233
243	232
146	225
132	225
547	226
180	224
550	220
279	231
498	219
352	220
274	220
547	218
346	216
339	239
342	246
260	219
76	219
203	217
184	213
351	211
240	209
187	210
523	211
278	211
93	209
236	230
251	219
274	205
525	204
186	205
500	203
283	204
540	202
92	202
449	200
337	206
325	206
137	201
108	219
101	213
290	198
106	201
526	197
457	193
470	190
513	193
474	187
534	192
273	185
135	185
548	182
460	184
110	180
103	184
273	180
241	179
124	182
143	188
175	179
115	186
115	190
220	182
202	174
274	173
235	173
226	173
529	172
157	171
339	170
212	301
214	418
215	408
229	389
234	385
271	376
254	373
248	376
269	368
246	368
188	330
199	321
201	318
174	315
121	313
183	304
182	315
123	297
201	289
208	287
208	281
195	283
164	278
121	272
189	272
179	283
178	270
148	262
186	265
177	254
191	260
189	258
192	246
171	247
166	236
142	235
109	235
160	204
155	193
160	183
469	170
412	171
226	168
195	170
200	200
190	224
538	165
410	163
335	163
113	163
365	163
350	163
344	164
339	160
147	160
520	163
538	157
130	166
121	169
209	164
117	154
125	154
358	155
525	153
508	155
516	150
427	151
114	150
343	153
294	149
149	149
427	148
444	147
389	148
290	148
122	147
346	145
112	145
441	151
443	141
442	140
343	139
110	139
112	137
105	142
321	141
454	133
367	140
333	137
257	130
511	137
505	123
562	122
504	121
304	121
505	120
348	130
348	131
252	125
511	117
499	118
288	121
130	114
274	115
272	115
264	115
252	115
113	114
139	111
24	111
123	109
4	109
235	107
119	108
341	106
253	106
146	106
335	112
167	105
133	105
128	107
24	105
86	107
267	107
138	101
485	100
371	102
169	101
324	101
369	97
249	98
171	97
257	103
356	98
169	93
149	92
482	90
295	90
166	89
465	89
85	89
361	91
162	88
469	85
342	106
341	100
235	85
494	84
129	84
34	90
131	82
467	80
323	80
23	91
27	97
299	82
341	82
241	77
48	77
34	78
231	76
393	75
290	77
462	74
459	75
332	75
237	76
178	74
172	74
284	73
166	73
438	72
41	75
413	250
425	419
393	414
392	409
441	407
441	403
390	403
471	400
384	400
479	394
464	392
449	387
459	385
454	384
470	382
474	378
397	378
407	368
405	364
401	369
400	360
512	355
440	347
430	347
442	342
512	343
520	340
425	380
423	403
415	404
418	396
432	388
434	379
438	376
416	382
422	382
440	371
418	368
444	369
427	368
427	366
452	361
438	361
425	343
524	335
449	335
475	333
393	335
395	327
455	328
424	326
392	344
387	347
509	305
501	298
470	287
470	279
524	276
453	278
395	263
447	267
382	261
443	260
427	261
510	260
518	251
366	246
530	251
416	245
393	243
375	247
531	239
472	240
358	236
505	234
384	225
527	224
510	222
505	220
490	213
502	212
474	218
481	218
474	215
478	209
313	201
425	200
468	198
438	198
319	195
398	187
364	187
359	188
380	209
352	184
446	283
482	359
475	356
422	315
470	316
478	319
465	315
446	318
430	316
460	311
465	305
466	304
428	304
434	300
475	303
470	298
462	299
443	303
444	303
448	291
450	290
430	294
439	289
431	284
423	288
444	283
425	277
403	251
401	249
443	246
453	243
453	238
462	236
403	232
426	227
417	228
408	224
409	223
413	219
408	208
410	200
412	199
414	194
424	189
368	182
471	179
392	181
348	180
443	176
311	175
294	174
432	176
496	173
434	170
435	166
304	169
454	160
385	159
300	156
456	155
456	151
489	145
398	140
496	137
478	139
390	134
489	135
472	134
410	129
401	129
441	129
480	126
467	123
407	123
398	115
385	115
467	115
486	113
490	110
476	114
462	109
391	116
429	120
428	119
418	107
409	111
425	102
449	96
443	102
424	94
424	89
431	89
450	89
450	84
433	83
422	83
402	81
449	73
265	70
461	68
404	69
41	68
428	68
227	68
179	69
39	67
302	67
433	65
203	66
99	65
474	63
338	68
293	105
286	107
297	103
280	87
272	83
206	142
246	204
246	195
256	187
179	155
223	154
175	156
270	152
167	158
176	147
170	147
135	148
251	145
170	142
129	142
165	139
261	141
278	142
148	134
138	138
140	138
145	126
147	119
195	118
227	147
258	161
251	157
236	116
207	118
189	97
198	100
197	80
435	63
299	62
229	62
188	62
442	65
427	61
302	61
201	62
83	61
468	61
465	59
43	59
435	58
299	58
206	57
441	57
224	56
265	62
45	54
407	53
216	54
217	65
219	51
253	50
246	52
212	50
193	50
419	51
286	49
261	51
402	49
238	55
241	61
225	49
38	58
411	58
414	61
449	46
412	46
413	45
240	47
425	49
236	43
221	44
261	43
227	43
428	43
397	42
390	40
248	42
213	44
182	52
181	48
270	44
489	42
426	38
419	38
236	36
59	36
241	36
52	35
388	35
381	36
282	42
269	34
226	36
397	33
330	32
76	31
428	33
72	30
242	30
377	28
389	26
66	27
260	26
251	31
198	39
192	25
405	30
289	27
282	25
338	22
288	22
378	22
252	21
290	20
390	21
108	19
381	17
332	18
286	17
362	18
260	19
131	18
370	14
323	16
229	10
115	10
233	8
110	8
268	4
115	2
79	1
64	8
44	7
37	2
19	6
10	4
2	4
