X	Y
329	246
586	487
51	488
49	485
331	484
322	484
48	484
332	483
329	483
326	483
323	483
313	483
309	483
304	483
302	483
299	483
350	482
348	482
346	482
343	482
336	482
289	482
351	481
290	481
288	481
46	482
358	480
356	480
283	480
280	480
278	480
276	480
44	480
362	479
275	479
369	478
367	478
271	478
43	478
374	477
371	477
269	477
267	477
378	476
264	476
42	476
383	475
381	475
258	475
592	480
386	474
255	474
40	474
389	473
249	473
39	473
393	472
247	472
396	471
394	471
37	471
599	471
397	470
400	469
241	469
401	468
235	468
404	467
233	467
406	466
232	466
228	466
602	467
605	464
412	464
228	464
224	463
33	465
419	461
219	461
218	460
216	460
423	459
608	460
425	458
426	457
610	456
430	456
28	458
432	455
26	455
433	454
206	454
434	453
204	453
435	452
203	452
24	453
437	451
23	450
613	451
443	447
194	447
21	447
617	447
445	446
192	446
447	445
619	444
188	443
19	444
620	441
454	441
184	441
455	440
182	439
16	440
621	439
458	438
623	437
179	437
15	437
460	436
177	436
463	435
461	435
175	435
624	435
176	434
626	433
466	432
171	431
627	430
467	430
172	430
471	429
469	429
628	428
168	428
167	427
630	426
11	431
475	424
163	423
162	422
6	423
631	422
633	420
159	420
5	420
479	419
634	418
157	418
3	418
155	417
635	415
483	415
155	415
2	415
636	414
2	414
151	412
637	411
489	411
148	409
639	407
641	405
144	405
495	404
642	402
497	402
141	401
643	399
644	398
500	398
139	398
501	397
137	397
502	395
645	394
646	393
503	393
133	391
647	389
648	388
507	389
508	387
130	387
511	383
126	382
514	380
125	379
123	378
517	375
121	375
518	374
653	373
519	373
654	372
119	372
522	367
116	367
116	365
115	364
524	363
113	361
112	359
526	358
110	356
528	355
529	353
109	351
531	350
108	350
532	349
532	347
533	345
106	345
534	343
535	341
104	341
537	335
101	335
538	333
100	333
99	330
100	329
540	328
99	328
98	326
541	325
541	323
542	322
97	323
543	317
95	318
544	313
94	313
93	309
546	308
547	303
92	303
91	302
91	300
90	297
549	295
550	294
549	293
88	290
550	288
551	285
88	285
88	282
87	281
86	274
552	273
553	270
86	270
86	263
553	262
553	260
86	259
86	257
553	256
554	253
86	252
553	251
554	249
553	248
554	246
86	244
85	243
86	241
554	240
553	238
553	234
319	236
319	236
552	230
86	229
87	226
551	220
88	219
551	218
88	216
551	215
88	214
88	212
550	209
549	208
549	205
90	204
548	202
91	197
92	196
92	193
546	191
545	188
94	186
544	185
543	184
95	184
543	182
96	179
97	178
541	176
540	174
539	172
98	172
281	175
100	171
538	166
101	165
537	164
535	162
103	162
104	161
535	159
104	159
534	156
533	154
106	154
107	152
529	148
109	148
111	144
527	142
655	141
525	139
113	140
654	137
523	136
115	136
652	132
521	132
116	133
651	131
118	131
650	129
519	128
649	124
517	124
122	124
515	122
647	121
124	120
645	118
645	115
511	116
130	113
2	113
643	112
509	112
3	112
131	111
4	110
642	109
505	108
5	108
641	107
134	107
135	106
6	106
639	105
502	104
501	103
137	103
7	103
638	102
500	102
638	100
499	100
9	100
141	99
636	98
496	98
635	96
494	96
143	96
10	97
145	94
12	94
634	93
491	92
146	92
14	92
148	91
490	90
150	90
151	89
149	89
631	88
488	88
150	88
152	87
16	88
153	86
18	86
629	86
154	85
17	85
155	84
157	83
158	82
480	80
20	82
479	79
161	79
162	78
22	78
476	77
475	75
23	76
625	78
472	74
166	74
471	73
470	72
169	72
167	72
25	73
621	71
468	69
171	69
466	68
173	68
465	67
463	67
174	67
28	69
619	67
30	66
177	65
461	65
31	64
179	63
616	63
458	62
181	62
614	60
454	60
184	60
453	59
613	58
452	58
186	58
612	57
451	57
189	57
611	56
449	56
190	56
447	55
191	55
610	54
446	54
193	54
36	58
444	52
196	52
194	52
40	52
441	51
197	51
439	50
200	49
607	50
436	48
202	48
203	47
432	46
431	45
208	45
43	48
429	44
210	44
427	43
212	43
426	42
48	43
424	41
217	41
215	41
219	40
50	40
419	38
221	38
225	37
599	41
414	36
226	36
411	35
229	35
227	35
232	34
234	33
53	36
404	32
235	32
57	32
593	32
401	31
239	31
396	30
243	30
240	30
589	29
390	28
250	28
251	27
255	26
381	25
260	25
257	25
380	24
263	24
259	24
373	23
267	23
265	23
586	24
369	22
366	22
269	22
62	26
364	21
280	21
278	21
273	21
360	20
356	20
285	20
281	20
279	20
582	20
353	19
349	19
293	19
291	19
287	19
348	18
346	18
342	18
332	18
302	18
295	18
292	18
336	17
333	17
331	17
328	17
308	17
304	17
69	19
577	15
77	11
569	7
