X	Y
329	246
584	489
586	487
51	487
343	483
339	483
337	483
335	483
331	483
329	483
317	483
313	483
309	483
307	483
304	483
302	483
298	483
347	482
344	482
352	481
350	481
348	481
288	481
284	481
358	480
356	480
280	480
276	480
367	479
278	479
275	479
273	479
46	481
591	482
370	478
368	478
269	478
43	478
375	477
373	477
42	477
263	476
41	476
257	475
596	475
385	474
383	474
255	474
40	474
389	473
387	473
250	473
248	473
391	472
247	472
244	471
242	470
38	471
600	470
403	468
236	468
35	468
406	467
234	467
408	466
233	466
231	466
603	466
33	466
412	464
222	463
419	461
421	460
217	460
425	458
427	457
211	457
429	455
207	455
608	459
433	454
28	458
436	452
439	451
200	451
614	451
440	450
23	451
441	449
196	449
615	448
444	448
194	447
446	446
192	446
617	445
449	445
447	445
20	446
451	443
188	443
619	443
452	442
18	443
454	441
455	440
183	440
621	440
16	440
180	438
460	437
15	437
178	436
462	435
176	435
464	434
175	434
624	435
12	434
467	431
627	430
468	430
171	430
470	429
628	428
169	428
168	427
10	428
629	426
8	426
630	425
475	424
164	424
162	423
7	423
478	422
632	421
479	421
159	419
157	419
4	420
633	418
483	418
481	418
635	417
156	417
483	416
154	416
635	415
484	415
2	415
486	413
637	412
151	412
150	411
638	410
639	408
147	408
145	407
493	406
146	406
641	405
145	405
496	403
642	402
141	402
140	400
500	399
644	398
501	398
138	397
645	395
503	394
136	394
646	393
134	393
648	389
507	389
132	390
508	387
129	386
511	384
128	384
512	382
126	382
651	380
514	380
124	379
517	377
516	376
653	374
517	374
121	374
519	372
119	371
520	370
655	368
521	368
117	367
522	366
116	366
524	364
114	363
524	362
525	361
526	359
113	359
110	356
528	355
109	353
530	352
107	350
533	346
106	346
105	344
534	342
535	340
103	340
101	336
537	335
539	331
539	329
99	329
541	325
541	323
97	323
96	320
544	318
95	318
543	317
96	317
93	311
546	309
92	306
547	305
91	304
547	303
91	301
90	298
549	295
90	293
88	290
550	289
550	287
88	287
88	285
88	283
552	281
552	277
87	277
552	270
85	265
553	264
86	264
86	261
553	259
553	256
85	255
86	254
85	253
86	249
553	251
553	244
553	242
85	243
553	237
319	236
319	236
86	230
552	227
86	227
87	225
87	221
87	219
89	213
550	213
550	208
90	205
91	203
548	198
547	196
91	196
546	193
92	193
546	191
93	191
546	189
545	187
94	187
95	185
544	184
96	183
543	182
542	181
543	180
96	178
540	174
539	169
538	168
101	168
538	166
101	166
102	165
103	162
535	160
103	160
104	159
105	156
106	155
107	154
106	153
532	152
530	150
108	149
109	148
110	147
656	144
527	143
111	143
526	141
113	140
525	138
114	138
115	137
524	136
116	136
523	135
117	132
119	129
651	128
650	127
519	127
122	126
516	123
648	122
123	122
647	121
125	121
513	119
126	119
646	118
511	117
645	116
127	116
510	114
2	114
644	113
509	113
130	113
132	110
4	110
134	109
641	108
505	108
133	108
5	108
504	107
134	107
640	106
503	106
6	106
136	105
325	106
137	104
638	102
138	102
139	101
7	102
499	100
140	100
9	100
10	98
496	97
143	97
636	98
494	95
144	95
493	94
12	95
634	93
14	92
491	91
148	91
150	89
487	88
631	88
15	88
630	86
153	86
485	86
155	85
17	85
483	84
19	83
481	82
628	82
480	81
157	82
21	79
478	78
161	78
476	77
475	76
163	76
625	77
474	75
623	74
473	74
165	74
24	75
472	73
167	73
25	73
471	72
470	71
621	71
468	70
170	70
620	69
467	68
171	68
619	67
173	67
28	69
175	66
462	65
177	65
31	65
617	64
459	63
180	63
32	63
458	62
181	62
182	61
454	59
185	59
614	60
452	58
187	58
451	57
188	57
449	55
447	55
191	55
35	58
610	54
446	54
39	54
445	53
195	53
608	51
442	51
440	50
199	50
201	49
606	49
437	48
604	47
206	47
433	46
42	49
430	45
208	45
46	45
602	45
210	44
47	44
601	43
427	43
212	43
426	42
48	42
216	41
421	40
217	40
599	40
419	39
220	39
415	37
224	37
413	36
226	36
51	38
411	35
229	35
596	35
406	34
232	34
593	33
403	32
401	32
236	32
400	31
56	33
591	31
398	30
395	30
394	29
246	28
387	27
249	27
383	26
255	26
588	27
261	25
259	25
585	24
374	24
375	23
373	23
266	23
264	23
371	22
368	22
268	22
363	21
361	21
279	21
273	21
360	20
286	20
281	20
582	21
290	19
288	19
284	19
351	18
303	18
297	18
293	18
291	18
340	17
338	17
334	17
328	17
323	17
314	17
309	17
307	17
305	17
299	17
319	16
66	21
75	12
574	13
80	8
567	6
