X	Y
329	246
51	487
327	484
322	484
338	483
336	483
334	483
331	483
326	483
323	483
312	483
309	483
307	483
304	483
302	483
299	483
351	482
341	482
337	482
47	483
590	482
356	481
349	481
45	481
592	480
360	480
280	480
366	479
364	479
275	479
273	479
593	478
367	478
268	478
266	477
264	477
379	476
377	476
596	476
259	475
257	475
597	474
386	474
383	474
254	474
598	473
389	473
387	473
394	471
244	471
599	471
399	470
241	470
402	469
398	469
403	468
235	468
39	474
602	468
405	467
407	466
231	466
604	465
412	465
230	465
414	464
227	464
416	463
224	463
222	463
418	462
419	461
218	461
32	464
216	460
214	459
607	461
28	459
212	457
209	456
610	456
430	455
206	455
433	454
25	455
203	452
437	452
201	451
199	451
441	450
23	450
442	449
196	448
194	447
21	447
445	446
192	446
447	445
191	445
20	445
449	444
615	448
452	443
187	443
620	442
185	442
453	441
455	440
183	440
17	441
621	439
457	438
181	438
460	437
180	437
177	436
462	435
176	435
624	435
13	435
626	433
12	433
467	431
468	430
171	430
168	429
627	430
629	427
166	427
10	429
630	425
474	425
8	425
164	424
7	424
631	423
477	423
632	421
479	421
161	421
633	420
5	421
480	419
4	419
634	418
482	418
483	417
634	416
154	415
636	414
637	413
150	412
637	411
489	411
491	409
639	407
147	407
146	406
640	405
494	405
496	403
143	403
642	402
141	402
139	399
500	397
645	395
136	395
503	394
134	392
647	391
506	390
131	390
508	388
131	388
648	387
509	387
130	387
129	386
128	384
511	383
127	383
126	382
514	380
124	380
651	379
515	378
122	375
518	374
121	374
519	372
119	372
118	369
656	366
523	366
116	366
115	364
114	361
526	359
113	359
527	358
112	357
528	356
529	354
110	354
109	352
108	351
530	350
107	348
106	346
105	344
534	341
102	336
538	332
540	328
99	328
98	326
541	325
98	324
542	323
97	322
542	321
96	319
543	317
545	312
93	312
93	310
546	309
93	308
92	307
547	305
546	304
92	304
92	302
548	300
90	300
548	298
91	298
90	297
549	295
89	291
550	289
88	288
550	287
551	286
88	285
551	283
552	279
87	279
551	277
87	277
87	275
553	272
86	270
553	269
553	259
86	259
86	256
553	253
86	251
553	245
86	244
85	243
85	240
86	235
319	236
319	236
86	231
552	229
86	227
87	225
88	218
551	216
550	215
88	214
88	212
550	210
550	208
89	207
549	204
90	204
548	199
548	197
91	196
547	194
546	193
92	193
94	187
544	184
95	183
543	182
96	181
543	180
542	178
540	172
99	172
538	168
101	165
102	164
537	163
535	160
103	160
104	159
533	156
105	156
106	154
532	152
531	151
530	150
108	149
529	147
111	144
527	142
526	141
112	141
113	139
654	138
525	138
114	138
115	137
653	136
114	136
522	134
299	136
652	132
521	132
117	132
520	130
119	129
519	128
120	128
650	127
518	127
122	124
648	123
515	122
647	121
124	121
127	118
645	116
511	116
644	115
510	115
128	116
2	114
509	113
130	113
643	111
507	111
3	112
132	110
507	109
133	109
4	109
641	108
134	107
5	107
136	105
639	104
502	104
137	104
8	103
639	102
139	102
638	100
498	100
141	100
9	101
497	99
636	98
496	98
10	98
142	97
635	95
494	95
144	95
493	94
634	93
147	93
11	94
492	92
13	92
148	91
14	91
490	90
632	89
151	88
16	88
630	87
487	87
153	86
483	84
154	84
17	85
156	83
19	83
628	83
157	82
481	81
627	80
479	79
21	80
476	77
162	77
23	76
475	75
164	75
624	76
167	74
472	73
25	73
169	71
621	71
27	70
172	69
467	69
28	68
464	67
173	67
30	67
619	67
463	66
462	65
176	65
31	65
460	64
616	63
458	62
182	62
180	62
456	61
33	62
455	60
185	60
34	60
454	59
186	58
452	57
188	57
190	56
448	55
37	57
192	54
446	53
444	53
443	52
195	52
611	56
439	50
198	50
201	49
436	48
203	48
435	47
205	47
605	47
206	46
603	45
208	45
42	49
602	44
430	44
428	44
210	44
212	43
426	42
424	42
422	41
421	40
217	40
419	39
220	39
49	41
52	37
225	36
53	36
597	38
407	34
232	34
239	31
56	33
398	30
242	30
245	29
591	30
390	28
253	27
249	27
385	26
587	26
380	25
256	25
61	27
378	24
264	24
262	24
373	23
269	23
265	23
263	23
368	22
271	22
366	21
361	21
280	21
274	21
583	22
360	20
281	20
356	19
349	19
345	19
291	19
288	19
343	18
340	18
303	18
295	18
290	18
339	17
334	17
330	17
327	17
323	17
311	17
308	17
305	17
302	17
300	17
298	17
69	19
76	12
78	9
80	8
574	13
566	4
